Close,Date,Tickers,Week,Month
116.150002,2017-01-03,AAPL,1,1
116.019997,2017-01-04,AAPL,1,1
116.610001,2017-01-05,AAPL,1,1
117.910004,2017-01-06,AAPL,1,1
118.989998,2017-01-09,AAPL,2,1
119.110001,2017-01-10,AAPL,2,1
119.75,2017-01-11,AAPL,2,1
119.25,2017-01-12,AAPL,2,1
119.040001,2017-01-13,AAPL,2,1
120.0,2017-01-17,AAPL,3,1
119.989998,2017-01-18,AAPL,3,1
119.779999,2017-01-19,AAPL,3,1
120.0,2017-01-20,AAPL,3,1
120.08000200000001,2017-01-23,AAPL,4,1
119.970001,2017-01-24,AAPL,4,1
121.879997,2017-01-25,AAPL,4,1
121.940002,2017-01-26,AAPL,4,1
121.949997,2017-01-27,AAPL,4,1
121.629997,2017-01-30,AAPL,5,1
121.349998,2017-01-31,AAPL,5,1
128.75,2017-02-01,AAPL,5,2
128.529999,2017-02-02,AAPL,5,2
129.080002,2017-02-03,AAPL,5,2
130.28999299999998,2017-02-06,AAPL,6,2
131.529999,2017-02-07,AAPL,6,2
132.03999299999998,2017-02-08,AAPL,6,2
132.419998,2017-02-09,AAPL,6,2
132.119995,2017-02-10,AAPL,6,2
133.28999299999998,2017-02-13,AAPL,7,2
135.020004,2017-02-14,AAPL,7,2
135.509995,2017-02-15,AAPL,7,2
135.350006,2017-02-16,AAPL,7,2
135.720001,2017-02-17,AAPL,7,2
136.699997,2017-02-21,AAPL,8,2
137.110001,2017-02-22,AAPL,8,2
136.529999,2017-02-23,AAPL,8,2
136.66000400000001,2017-02-24,AAPL,8,2
136.929993,2017-02-27,AAPL,9,2
136.990005,2017-02-28,AAPL,9,2
139.78999299999998,2017-03-01,AAPL,9,3
138.96000700000002,2017-03-02,AAPL,9,3
139.779999,2017-03-03,AAPL,9,3
139.33999599999999,2017-03-06,AAPL,10,3
139.520004,2017-03-07,AAPL,10,3
139.0,2017-03-08,AAPL,10,3
138.679993,2017-03-09,AAPL,10,3
139.139999,2017-03-10,AAPL,10,3
139.199997,2017-03-13,AAPL,11,3
138.990005,2017-03-14,AAPL,11,3
140.46000700000002,2017-03-15,AAPL,11,3
140.690002,2017-03-16,AAPL,11,3
139.990005,2017-03-17,AAPL,11,3
141.46000700000002,2017-03-20,AAPL,12,3
139.83999599999999,2017-03-21,AAPL,12,3
141.419998,2017-03-22,AAPL,12,3
140.919998,2017-03-23,AAPL,12,3
140.639999,2017-03-24,AAPL,12,3
140.880005,2017-03-27,AAPL,13,3
143.800003,2017-03-28,AAPL,13,3
144.119995,2017-03-29,AAPL,13,3
143.929993,2017-03-30,AAPL,13,3
143.66000400000001,2017-03-31,AAPL,13,3
143.699997,2017-04-03,AAPL,14,4
144.770004,2017-04-04,AAPL,14,4
144.020004,2017-04-05,AAPL,14,4
143.66000400000001,2017-04-06,AAPL,14,4
143.33999599999999,2017-04-07,AAPL,14,4
143.169998,2017-04-10,AAPL,15,4
141.630005,2017-04-11,AAPL,15,4
141.800003,2017-04-12,AAPL,15,4
141.050003,2017-04-13,AAPL,15,4
141.830002,2017-04-17,AAPL,16,4
141.199997,2017-04-18,AAPL,16,4
140.679993,2017-04-19,AAPL,16,4
142.440002,2017-04-20,AAPL,16,4
142.270004,2017-04-21,AAPL,16,4
143.639999,2017-04-24,AAPL,17,4
144.529999,2017-04-25,AAPL,17,4
143.679993,2017-04-26,AAPL,17,4
143.78999299999998,2017-04-27,AAPL,17,4
143.649994,2017-04-28,AAPL,17,4
146.580002,2017-05-01,AAPL,18,5
147.509995,2017-05-02,AAPL,18,5
147.059998,2017-05-03,AAPL,18,5
146.529999,2017-05-04,AAPL,18,5
148.96000700000002,2017-05-05,AAPL,18,5
153.009995,2017-05-08,AAPL,19,5
153.990005,2017-05-09,AAPL,19,5
153.259995,2017-05-10,AAPL,19,5
153.949997,2017-05-11,AAPL,19,5
156.100006,2017-05-12,AAPL,19,5
155.699997,2017-05-15,AAPL,20,5
155.470001,2017-05-16,AAPL,20,5
150.25,2017-05-17,AAPL,20,5
152.53999299999998,2017-05-18,AAPL,20,5
153.059998,2017-05-19,AAPL,20,5
153.990005,2017-05-22,AAPL,21,5
153.800003,2017-05-23,AAPL,21,5
153.33999599999999,2017-05-24,AAPL,21,5
153.869995,2017-05-25,AAPL,21,5
153.610001,2017-05-26,AAPL,21,5
153.669998,2017-05-30,AAPL,22,5
152.759995,2017-05-31,AAPL,22,5
153.179993,2017-06-01,AAPL,22,6
155.449997,2017-06-02,AAPL,22,6
153.929993,2017-06-05,AAPL,23,6
154.449997,2017-06-06,AAPL,23,6
155.369995,2017-06-07,AAPL,23,6
154.990005,2017-06-08,AAPL,23,6
148.979996,2017-06-09,AAPL,23,6
145.419998,2017-06-12,AAPL,24,6
146.58999599999999,2017-06-13,AAPL,24,6
145.16000400000001,2017-06-14,AAPL,24,6
144.28999299999998,2017-06-15,AAPL,24,6
142.270004,2017-06-16,AAPL,24,6
146.33999599999999,2017-06-19,AAPL,25,6
145.009995,2017-06-20,AAPL,25,6
145.869995,2017-06-21,AAPL,25,6
145.630005,2017-06-22,AAPL,25,6
146.279999,2017-06-23,AAPL,25,6
145.820007,2017-06-26,AAPL,26,6
143.729996,2017-06-27,AAPL,26,6
145.830002,2017-06-28,AAPL,26,6
143.679993,2017-06-29,AAPL,26,6
144.020004,2017-06-30,AAPL,26,6
143.5,2017-07-03,AAPL,27,7
144.08999599999999,2017-07-05,AAPL,27,7
142.729996,2017-07-06,AAPL,27,7
144.179993,2017-07-07,AAPL,27,7
145.059998,2017-07-10,AAPL,28,7
145.529999,2017-07-11,AAPL,28,7
145.740005,2017-07-12,AAPL,28,7
147.770004,2017-07-13,AAPL,28,7
149.03999299999998,2017-07-14,AAPL,28,7
149.559998,2017-07-17,AAPL,29,7
150.080002,2017-07-18,AAPL,29,7
151.020004,2017-07-19,AAPL,29,7
150.33999599999999,2017-07-20,AAPL,29,7
150.270004,2017-07-21,AAPL,29,7
152.08999599999999,2017-07-24,AAPL,30,7
152.740005,2017-07-25,AAPL,30,7
153.46000700000002,2017-07-26,AAPL,30,7
150.559998,2017-07-27,AAPL,30,7
149.5,2017-07-28,AAPL,30,7
148.729996,2017-07-31,AAPL,31,7
150.050003,2017-08-01,AAPL,31,8
157.139999,2017-08-02,AAPL,31,8
155.570007,2017-08-03,AAPL,31,8
156.389999,2017-08-04,AAPL,31,8
158.809998,2017-08-07,AAPL,32,8
160.080002,2017-08-08,AAPL,32,8
161.059998,2017-08-09,AAPL,32,8
155.320007,2017-08-10,AAPL,32,8
157.479996,2017-08-11,AAPL,32,8
159.850006,2017-08-14,AAPL,33,8
161.600006,2017-08-15,AAPL,33,8
160.949997,2017-08-16,AAPL,33,8
157.860001,2017-08-17,AAPL,33,8
157.5,2017-08-18,AAPL,33,8
157.21000700000002,2017-08-21,AAPL,34,8
159.779999,2017-08-22,AAPL,34,8
159.979996,2017-08-23,AAPL,34,8
159.270004,2017-08-24,AAPL,34,8
159.860001,2017-08-25,AAPL,34,8
161.470001,2017-08-28,AAPL,35,8
162.91000400000001,2017-08-29,AAPL,35,8
163.350006,2017-08-30,AAPL,35,8
164.0,2017-08-31,AAPL,35,8
164.050003,2017-09-01,AAPL,35,9
162.080002,2017-09-05,AAPL,36,9
161.91000400000001,2017-09-06,AAPL,36,9
161.259995,2017-09-07,AAPL,36,9
158.630005,2017-09-08,AAPL,36,9
161.5,2017-09-11,AAPL,37,9
160.860001,2017-09-12,AAPL,37,9
159.649994,2017-09-13,AAPL,37,9
158.279999,2017-09-14,AAPL,37,9
159.880005,2017-09-15,AAPL,37,9
158.669998,2017-09-18,AAPL,38,9
158.729996,2017-09-19,AAPL,38,9
156.070007,2017-09-20,AAPL,38,9
153.389999,2017-09-21,AAPL,38,9
151.889999,2017-09-22,AAPL,38,9
150.550003,2017-09-25,AAPL,39,9
153.139999,2017-09-26,AAPL,39,9
154.229996,2017-09-27,AAPL,39,9
153.279999,2017-09-28,AAPL,39,9
154.119995,2017-09-29,AAPL,39,9
153.809998,2017-10-02,AAPL,40,10
154.479996,2017-10-03,AAPL,40,10
153.479996,2017-10-04,AAPL,40,10
155.389999,2017-10-05,AAPL,40,10
155.300003,2017-10-06,AAPL,40,10
155.83999599999999,2017-10-09,AAPL,41,10
155.899994,2017-10-10,AAPL,41,10
156.550003,2017-10-11,AAPL,41,10
156.0,2017-10-12,AAPL,41,10
156.990005,2017-10-13,AAPL,41,10
159.880005,2017-10-16,AAPL,42,10
160.470001,2017-10-17,AAPL,42,10
159.759995,2017-10-18,AAPL,42,10
155.979996,2017-10-19,AAPL,42,10
