Date,Open,High,Low,Close,Adj Close,Volume
3/2/15,202.699997,203.339996,195.830002,197.330002,197.330002,7922100
3/3/15,196.809998,200.240005,195.320007,199.559998,199.559998,4432300
3/4/15,199.25,202.520004,197.210007,202.440002,202.440002,4212000
3/5/15,202.850006,206.190002,200.149994,200.630005,200.630005,4877000
3/6/15,199.210007,200.75,192.149994,193.880005,193.880005,6712400
3/9/15,194.389999,194.490005,188.25,190.880005,190.880005,6736700
3/10/15,188.460007,193.5,187.600006,190.320007,190.320007,5530900
3/11/15,191.149994,196.179993,191.009995,193.740005,193.740005,4974900
3/12/15,193.75,194.449997,189.75,191.070007,191.070007,4149300
3/13/15,188.949997,191.75,187.320007,188.679993,188.679993,5434300
3/16/15,192,195.910004,189.800003,195.699997,195.699997,5628800
3/17/15,195.429993,198.710007,193.940002,194.729996,194.729996,4883200
3/18/15,194.960007,200.880005,193.110001,200.710007,200.710007,4756300
3/19/15,202,204.589996,194.529999,195.649994,195.649994,8475200
3/20/15,197.449997,198.990005,195.619995,198.080002,198.080002,4269500
3/23/15,198.5,200.5,197.470001,199.630005,199.630005,2620900
3/24/15,201.580002,203.789993,199.75,201.720001,201.720001,3649900
3/25/15,198.270004,198.589996,192.699997,194.300003,194.300003,5730400
3/26/15,193.919998,194.789993,189.699997,190.410004,190.410004,4128000
3/27/15,189.070007,189.289993,181.399994,185,185,8526900
3/30/15,185.850006,192.25,181.800003,190.570007,190.570007,10089500
3/31/15,193.529999,193.759995,188.410004,188.770004,188.770004,5026600
4/1/15,188.699997,192.300003,186.050003,187.589996,187.589996,3786000
4/2/15,190.229996,193.229996,190,191,191,5010400
4/6/15,198,207.75,197.5,203.100006,203.100006,12455800
4/7/15,202.509995,205.059998,201.139999,203.25,203.25,4347900
4/8/15,208.199997,210.899994,205.869995,207.669998,207.669998,6303100
4/9/15,208.429993,210.369995,206.119995,210.089996,210.089996,3800200
4/10/15,209.850006,211.649994,209,210.899994,210.899994,4067700
4/13/15,210.440002,213,209.050003,209.779999,209.779999,3758200
4/14/15,208.570007,209.490005,205.5,207.460007,207.460007,3017000
4/15/15,207.460007,209.589996,206.600006,207.830002,207.830002,1952400
4/16/15,207.699997,209.169998,206.289993,206.699997,206.699997,1659100
4/17/15,204.990005,206.880005,203.5,206.789993,206.789993,2469900
4/20/15,206.779999,207.850006,203.850006,205.270004,205.270004,2554700
4/21/15,205.800003,210.75,204.309998,209.410004,209.410004,3432500
4/22/15,212.5,221.880005,211.690002,219.440002,219.440002,7863000
4/23/15,218.270004,221.479996,217.149994,218.600006,218.600006,4411200
4/24/15,220.5,220.800003,218.009995,218.429993,218.429993,2427800
4/27/15,222.559998,238.75,222,231.550003,231.550003,11672600
4/28/15,234.75,235.5,228.029999,230.479996,230.479996,6085400
4/29/15,230.050003,234.970001,227.630005,232.449997,232.449997,3936100
4/30/15,230.389999,232.889999,225.169998,226.050003,226.050003,3911900
5/1/15,229.940002,231.770004,220.410004,226.029999,226.029999,5281700
5/4/15,228.179993,234.729996,227.110001,230.509995,230.509995,4434600
5/5/15,237.759995,239.5,229.130005,232.949997,232.949997,5796900
5/6/15,234.100006,234.470001,228.199997,230.429993,230.429993,5270900
5/7/15,221,237.479996,220.25,236.800003,236.800003,9455900
5/8/15,235.990005,238.410004,233.699997,236.610001,236.610001,4668200
5/11/15,236.289993,242.880005,235.309998,239.490005,239.490005,5672300
5/12/15,240.110001,246.350006,238.190002,244.740005,244.740005,6363400
5/13/15,247.610001,248.300003,242.25,243.179993,243.179993,5440200
5/14/15,244.820007,244.889999,241.25,244.100006,244.100006,2895900
5/15/15,243.929993,249.399994,242.5,248.839996,248.839996,4527600
5/18/15,247,249.899994,246,248.75,248.75,3348000
5/19/15,248.429993,251,246.149994,247.139999,247.139999,3674200
5/20/15,247.130005,247.740005,241.369995,244.350006,244.350006,3755600
5/21/15,243.029999,246.619995,242.360001,245.619995,245.619995,1970600
5/22/15,245.380005,248.600006,245.009995,247.729996,247.729996,2223100
5/26/15,247.679993,252,246.5,247.460007,247.460007,3498700
5/27/15,248.509995,249.5,245.550003,247.429993,247.429993,3408200
5/28/15,247.029999,251.800003,245.050003,251.449997,251.449997,3647300
5/29/15,251,252.869995,249.429993,250.800003,250.800003,3781700
6/1/15,251.410004,251.600006,247.470001,249.449997,249.449997,2505100
6/2/15,248.919998,249.399994,246.300003,248.350006,248.350006,2125800
6/3/15,248.199997,250.720001,247.009995,248.990005,248.990005,1781500
6/4/15,247.5,249.300003,245.710007,245.919998,245.919998,2453600
6/5/15,246,249.699997,245.679993,249.139999,249.139999,3022000
6/8/15,250.850006,258.75,250.309998,256.290009,256.290009,5001200
6/9/15,255.399994,257.73999,254.139999,256,256,2611100
6/10/15,251.899994,254,248.5,250.699997,250.699997,3454500
6/11/15,253.259995,254.369995,250.429993,251.410004,251.410004,2044100
6/12/15,250.210007,253.460007,250.210007,250.690002,250.690002,1422300
6/15/15,249.699997,251.279999,246.009995,250.380005,250.380005,2186200
6/16/15,250.130005,253.440002,249.100006,253.119995,253.119995,1984700
6/17/15,252.169998,264.359985,252.020004,260.410004,260.410004,5512900
6/18/15,262,263.459991,260.019989,261.890015,261.890015,2782700
6/19/15,262.399994,263.799988,260.100006,262.51001,262.51001,2463000
6/22/15,262.149994,264.399994,255.690002,259.790009,259.790009,4561100
6/23/15,260.320007,268,258.570007,267.670013,267.670013,3870800
6/24/15,266.980011,267.350006,263.720001,265.170013,265.170013,2412300
6/25/15,266.450012,271.410004,265.25,268.790009,268.790009,2849200
6/26/15,268.890015,269.109985,266,267.089996,267.089996,3838400
6/29/15,261.950012,265.950012,260.700012,262.019989,262.019989,3478900
6/30/15,264.799988,270.920013,264,268.26001,268.26001,3086900
7/1/15,271.109985,272.619995,267.850006,269.149994,269.149994,2101200
7/2/15,280.200012,282.450012,273.309998,280.019989,280.019989,7163900
7/6/15,278.880005,281.690002,276.299988,279.720001,279.720001,4121900
7/7/15,275,275.200012,260.769989,267.880005,267.880005,6105100
7/8/15,259.320007,260.799988,254.309998,254.960007,254.960007,6221100
7/9/15,259.079987,262.950012,256.790009,257.920013,257.920013,3334100
7/10/15,262.220001,263,257.820007,259.149994,259.149994,2610900
7/13/15,262.25,262.549988,256.049988,262.160004,262.160004,2960300
7/14/15,262.100006,265.98999,260.51001,265.649994,265.649994,1907600
7/15/15,266.73999,267.48999,262.079987,263.140015,263.140015,2021600
7/16/15,264.220001,267.200012,263.160004,266.679993,266.679993,1616000
7/17/15,272.5,275.540009,268.25,274.660004,274.660004,5004100
7/20/15,275,286.649994,272.540009,282.26001,282.26001,4978500
7/21/15,270.049988,273.5,266.549988,266.769989,266.769989,6108700
7/22/15,261.269989,269.440002,260.859985,267.869995,267.869995,3105000
7/23/15,269.649994,269.899994,265.269989,267.200012,267.200012,2227200
7/24/15,267.380005,271.089996,263.920013,265.410004,265.410004,2836500
7/27/15,262.429993,264.429993,250.789993,253.009995,253.009995,4694200
7/28/15,255.75,265.399994,251.839996,264.820007,264.820007,3895800
7/29/15,264.269989,267.890015,262,263.820007,263.820007,2790100
7/30/15,262.690002,266.940002,262.109985,266.790009,266.790009,2034600
7/31/15,267.600006,269.359985,265.119995,266.149994,266.149994,2222600
8/3/15,266.290009,266.709991,257.070007,259.98999,259.98999,2553500
8/4/15,260.01001,266.720001,258.339996,266.279999,266.279999,2352500
8/5/15,263.579987,271,260.399994,270.130005,270.130005,6214300
8/6/15,249.539993,255,236.119995,246.130005,246.130005,14623800
8/7/15,243.580002,243.729996,238.389999,242.509995,242.509995,5073400
8/10/15,238.149994,242.970001,236.050003,241.139999,241.139999,4185900
8/11/15,237.149994,239.300003,234.440002,237.369995,237.369995,4253300
8/12/15,235,239.770004,232.740005,238.169998,238.169998,3728000
8/13/15,239.860001,246.479996,239.119995,242.509995,242.509995,4689200
8/14/15,247.240005,247.929993,241.770004,243.149994,243.149994,4351700
8/17/15,255.559998,256.589996,250.509995,254.990005,254.990005,7176700
8/18/15,255.380005,260.950012,253.559998,260.720001,260.720001,4195000
8/19/15,260.329987,260.649994,255.020004,255.25,255.25,3604300
8/20/15,252.059998,254.559998,241.899994,242.179993,242.179993,4905800
8/21/15,236,243.800003,230.509995,230.770004,230.770004,6590200
8/24/15,202.789993,231.399994,195,218.869995,218.869995,9581600
8/25/15,230.520004,230.899994,219.119995,220.029999,220.029999,4327300
8/26/15,227.929993,228,215.509995,224.839996,224.839996,4963000
8/27/15,231,244.75,230.809998,242.990005,242.990005,7656000
8/28/15,241.860001,251.449997,241.570007,248.479996,248.479996,5513700
8/31/15,245.619995,254.949997,245.509995,249.059998,249.059998,4680800
9/1/15,240.339996,246,236.970001,238.630005,238.630005,5454800
9/2/15,245.300003,247.880005,239.779999,247.690002,247.690002,4629200
9/3/15,252.059998,252.080002,245,245.570007,245.570007,4194800
9/4/15,240.889999,244.089996,238.199997,241.929993,241.929993,3689200
9/8/15,245.050003,249.160004,244.050003,248.169998,248.169998,3138200
9/9/15,252.050003,254.25,248.300003,248.910004,248.910004,3384700
9/10/15,247.229996,250.720001,245.330002,248.479996,248.479996,2709000
9/11/15,247.639999,250.240005,244.729996,250.240005,250.240005,2350800
9/14/15,251.100006,254.25,249.669998,253.190002,253.190002,2890900
9/15/15,252.75,254.600006,249.5,253.570007,253.570007,2929300
9/16/15,253.039993,262.880005,252.880005,262.25,262.25,4417100
9/17/15,263.959991,265.5,260.690002,262.070007,262.070007,3585800
9/18/15,257.959991,263.820007,257.5,260.619995,260.619995,3739800
9/21/15,263.980011,271.570007,255.800003,264.200012,264.200012,6120200
9/22/15,259.029999,262.649994,255.869995,260.940002,260.940002,3664400
9/23/15,261.950012,262.079987,257.579987,261.059998,261.059998,2600800
9/24/15,259.529999,263.450012,256.209991,263.119995,263.119995,3448200
9/25/15,266.609985,266.910004,256.149994,256.910004,256.910004,3773400
9/28/15,257.350006,259.790009,246.610001,248.429993,248.429993,4901100
9/29/15,250.460007,254.729996,245.460007,246.649994,246.649994,3703200
9/30/15,252,252.399994,242.339996,248.399994,248.399994,4923300
10/1/15,247.509995,248.5,237.130005,239.880005,239.880005,4573000
10/2/15,235.600006,247.699997,234.929993,247.570007,247.570007,4424000
10/5/15,248.839996,249.839996,244.130005,246.149994,246.149994,3689900
10/6/15,240,243.029999,235.580002,241.460007,241.460007,5225200
10/7/15,236.630005,237.699997,229.119995,231.960007,231.960007,6814000
10/8/15,230.080002,230.720001,221.309998,226.720001,226.720001,6133200
10/9/15,220.929993,224.369995,218.360001,220.690002,220.690002,6158400
10/12/15,222.990005,223,215.270004,215.580002,215.580002,3836300
10/13/15,213.279999,222.520004,211.130005,219.25,219.25,5171500
10/14/15,220.669998,220.949997,215.429993,216.880005,216.880005,3104400
10/15/15,216.429993,221.729996,213.699997,221.309998,221.309998,2844200
10/16/15,223.039993,230.479996,222.869995,227.009995,227.009995,4334500
10/19/15,226.5,231.149994,224.940002,228.100006,228.100006,2507900
10/20/15,227.720001,228.600006,202,213.029999,213.029999,14863300
10/21/15,211.990005,214.809998,208.800003,210.089996,210.089996,4151500
10/22/15,211.559998,215.75,209.399994,211.720001,211.720001,2825200
10/23/15,215,215.350006,207.690002,209.089996,209.089996,4235500
10/26/15,211.380005,215.880005,210,215.259995,215.259995,3391400
10/27/15,214.839996,217.100006,207.509995,210.350006,210.350006,3519400
10/28/15,211.309998,213.449997,208.300003,212.960007,212.960007,2728600
10/29/15,211.75,213.75,210.639999,211.630005,211.630005,1782400
10/30/15,210.399994,211.630005,203.889999,206.929993,206.929993,4438900
11/2/15,208.919998,215.800003,207.220001,213.789993,213.789993,3927900
11/3/15,213.850006,214.440002,207.75,208.350006,208.350006,8332500
11/4/15,227,232.740005,225.199997,231.630005,231.630005,12706700
11/5/15,230.580002,234.580002,229.190002,231.770004,231.770004,4496800
11/6/15,230.699997,233.360001,229.5,232.360001,232.360001,2445300
11/9/15,232.990005,232.990005,224.309998,225.330002,225.330002,3850900
11/10/15,223.479996,223.699997,216.080002,216.5,216.5,4617000
11/11/15,217.770004,219.479996,213.630005,219.080002,219.080002,3347800
11/12/15,217.850006,219,212.660004,212.940002,212.940002,2915900
11/13/15,212.949997,212.990005,206.520004,207.190002,207.190002,3430300
11/16/15,206.089996,214.979996,205.800003,214.309998,214.309998,2925400
11/17/15,215.199997,216,211.399994,214,214,2148700
11/18/15,214.5,221.380005,212.520004,221.070007,221.070007,2811900
11/19/15,220.539993,226.190002,220.300003,221.800003,221.800003,2504400
11/20/15,223.490005,225,213.580002,220.009995,220.009995,4400700
11/23/15,217.350006,219.179993,214.679993,217.75,217.75,2526200
11/24/15,215.369995,221,215,218.25,218.25,2480300
11/25/15,221.339996,230.830002,220.380005,229.639999,229.639999,3990800
11/27/15,231.059998,232.25,227.009995,231.610001,231.610001,1949400
11/30/15,231.789993,234.279999,229.080002,230.259995,230.259995,2659800
12/1/15,231.059998,238,231.050003,237.190002,237.190002,3734000
