,Time,Link,Title,Authors,Tickers,Strategy
0," May 25, 2017, 3:21 PM ",/article/4076609-10-percent-solution-challenge-change-computing-world,The 10% Solution And The Challenge Of Change For The Computing World, William Tidwell,"INTC, SSNLF, WDC",Long
1," May 25, 2017, 3:02 PM ",/article/4076541-world-runs-dunkin-brands,"The World Runs On Dunkin Brands, And You Should Too", Timothy O'Brien,DNKN,Long
2," May 25, 2017, 3:01 PM ",/article/4076540-vascular-biogenics-radar-oncology-play-near-6,Vascular Biogenics: An Under-The-Radar Oncology Play Near $6, Bret Jensen,VBLT,Long
3," May 25, 2017, 2:57 PM ",/article/4076536-gm-tumbles-emissions-cheating-news,GM Tumbles After Emissions Cheating News, Jonathan Weber,GM,Long
4," May 25, 2017, 2:55 PM ",/article/4076535-abivax-biotech-blockbuster-potential,Abivax: A Biotech With Blockbuster Potential, Giltedge,AAVXF,Long
5," May 25, 2017, 2:08 PM ",/article/4076530-large-retail-advantage-one-talking,A Large Retail Advantage No One Is Talking About, Paulo Santos,"GES, JWN, KSS",Long
6," May 25, 2017, 1:32 PM ",/article/4076510-holding-priceline-group,Holding The Priceline Group, Eric Sprague,BKNG,Long
7," May 25, 2017, 1:20 PM ",/article/4076503-halliburton-best-choice-profit-2017minus-18-oil-price-upswing,Halliburton: The Best Choice To Profit From A 2017-18 Oil Price Upswing?, Paul Franke,HAL,Long
8," May 25, 2017, 12:49 PM ",/article/4076502-amazon-buy-macys-kick-start-offline-ambition,Amazon Should Buy Macy's To Kick Start Its Offline Ambition, Invest with J. Zhang,M,Long
9," May 25, 2017, 12:47 PM ",/article/4076501-nokia-benefits-friends-apple,Nokia: The Benefits Of Being Friends With Apple, Motek Moyen,NOK,Long
10," May 25, 2017, 12:27 PM ",/article/4076483-bet-best-buy,Don't Bet Against Best Buy, L&F Capital Management,BBY,Long
11," May 25, 2017, 12:01 PM ",/article/4076486-amd-remains-better-investment-nvidia,AMD Remains A Better Investment Than Nvidia, Alex Cho,"AMD, NVDA",Long
12," May 25, 2017, 11:50 AM ",/article/4076481-total-good-buy,Total: A Good Buy, Societe Financiers,TOT,Long
13," May 25, 2017, 11:35 AM ",/article/4076474-alphabet-sell-waymo,Should Alphabet Sell Waymo?, Jonathan Weber,"GOOG, GOOGL",Long
14," May 25, 2017, 11:34 AM ",/article/4076473-bank-america-matters,Bank Of America: THIS Is What Matters, Quad 7 Capital,BAC,Long
15," May 25, 2017, 11:18 AM ",/article/4076462-tegna-spin-creating-35-percent-upside,Tegna Spin-Off Creating 35% Upside, Eric Nickolaison,TGNA,Long
16, BABA,/article/4076457-alibaba-continues-build-e-commerce-cloud-media-empire,"Alibaba Continues To Build Its E-Commerce, Cloud And Media Empire"," May 25, 2017, 10:55 AM ",Editors' Pick ,Long
17," May 25, 2017, 10:39 AM ",/article/4076453-mcdonalds-getting-bit-frothy,McDonald's: Getting A Bit Frothy, Andrew McElroy,MCD,Long
18," May 25, 2017, 10:36 AM ",/article/4076452-whiting-petroleum-next-year-better,Whiting Petroleum: Next Year Should Be Better, Daniel Jones,WLL,Long
19," May 25, 2017, 10:02 AM ",/article/4076448-enterprise-products-partners-good-pick-30,Enterprise Products Partners: A Good Pick Below $30?, Orthodox Investor,EPD,Long
20," CF, OCINF, OCINY",/article/4076066-buy-cf-industries-oci,Should You Buy CF Industries Or OCI?," May 25, 2017, 9:45 AM ",Editors' Pick ,Long
21, AXSM,/article/4076434-analysis-axsome-therapeutics-upcoming-catalysts,An Analysis Of Axsome Therapeutics' Upcoming Catalysts," May 25, 2017, 9:41 AM ",Editors' Pick ,Long
22," May 25, 2017, 9:27 AM ",/article/4076438-skechers-sale-growth-potentials-discounted-price-least-20-percent,Skechers: On Sale... Growth Potentials At A Discounted Price Of At Least 20%, Integer Investments,SKX,Long
23, CRME,/article/4076427-cardiome-pharma-pieces-coming-together,Cardiome Pharma: The Pieces Are Coming Together," May 25, 2017, 9:24 AM ",Editors' Pick ,Long
24," May 25, 2017, 6:55 AM ",/article/4076384-bank-america-see-11-percent-one-month-possible,Bank Of America - Why I See 11% In One Month Possible Here, Markos Kaminis,BAC,Long
25, NVDA,/article/4076383-nvidia-growing-rapidly-mark-hibbens-idea-month,Nvidia Is Growing Rapidly - Mark Hibben's Idea Of The Month," May 25, 2017, 6:40 AM ",Editors' Pick ,Long
26," May 25, 2017, 5:46 AM ",/article/4076368-rollins-ultimate-recession-proof-company,Rollins: The Ultimate Recession-Proof Company, Mike Berner,ROL,Long
27," May 25, 2017, 5:32 AM ",/article/4076360-zoes-kitchen-buy-half-now-flop,Zoe's Kitchen - Buy Half Now And The Other After The Flop, Tony Cardinalli,ZOES,Long
28," May 25, 2017, 5:29 AM ",/article/4076358-going-peabody-energy,What's Going On With Peabody Energy?, Burt Rothberg,BTU,Long
29," May 25, 2017, 5:14 AM ",/article/4076355-shopify-pay-40-percent-faster-checkout-18-percent-sales,"Shopify Pay: 40% Faster Checkout, 18% More Sales", Save Money Retire Early,SHOP,Long
30," May 24, 2017, 11:31 PM ",/article/4076326-softbanks-vote-confidence-nvidia,SoftBank's Vote Of Confidence In Nvidia, Mark Hibben,NVDA,Long
31," May 24, 2017, 9:59 PM ",/article/4076318-amazon-buying-macys-make-sense,Would Amazon Buying Macy's Make Sense?, Orange Peel Investments,M,Long
32," May 24, 2017, 7:35 PM ",/article/4076299-double-money-6-percent-move-gilead-sciences,How To Double Your Money On A 6% Up Move In Gilead Sciences, Giovanni DiMauro,GILD,Long
33," May 24, 2017, 4:22 PM ",/article/4076250-softbank-drops-hard-money-nvidia,SoftBank Drops Hard Money On Nvidia, Sam Warren,NVDA,Long
34," May 24, 2017, 4:02 PM ",/article/4076258-chevrons-arduous-gorgon-story-passes-major-milestone,Chevron's Arduous Gorgon Story Passes A Major Milestone, Callum Turcan,CVX,Long
35," May 24, 2017, 4:01 PM ",/article/4076255-nvidia-next-intel,Nvidia: The Next Intel?, Celeritas Investments,NVDA,Long
36," May 24, 2017, 3:59 PM ",/article/4076254-allergans-debt-refinancing-less,Allergan's Debt Refinancing: When More Is Less, Open Square Capital,AGN,Long
37," May 24, 2017, 3:50 PM ",/article/4076249-chesapeake-cooking-haynesville-shale,What Chesapeake Is Cooking Up In The Haynesville Shale, Callum Turcan,CHK,Long
38," May 24, 2017, 3:46 PM ",/article/4076248-amicus-therapeutics-rare-find-biotechnology,Amicus Therapeutics: A Rare Find In Biotechnology, Strong Bio,FOLD,Long
39," May 24, 2017, 3:29 PM ",/article/4076241-exelixis-still-buy,Exelixis Could Still Be A Buy, Strong Bio,EXEL,Long
40," May 24, 2017, 3:15 PM ",/article/4076228-chesapeake-energy-nothing-surprising,Chesapeake Energy: Nothing Surprising Here, Orthodox Investor,CHK,Long
41," May 24, 2017, 2:54 PM ",/article/4076207-molson-coors-buy-downtrend,Molson Coors: Buy The Downtrend, Timothy Gornall,TAP,Long
42," May 24, 2017, 2:35 PM ",/article/4076219-tiffany-diamond-sale,Tiffany: A Diamond Is On Sale, Quad 7 Capital,TIF,Long
