Authors,Link,Tickers,Time,Title,Strategy
 The Value Investor,/article/4137429-astronics-flying-high-2018,ATRO," Sun, Jan. 14, 4:19 AM ",Astronics - Flying High In 2018,Long
 Chris Lau,/article/4137425-general-electric-still-work-progress,GE," Sun, Jan. 14, 3:03 AM ",Why General Electric Is Still A Work In Progress,Long
 BioSci Capital Partners,/article/4137419-global-blood-therapeutics-recent-fda-breakthrough-therapy-designation-voxelotor-entails,GBT," Sun, Jan. 14, 2:21 AM ",Global Blood Therapeutics: What The Recent FDA Breakthrough Therapy Designation For Voxelotor Entails,Long
 WG Investment Research,/article/4137413-buy-general-electric-right-price,GE," Sun, Jan. 14, 1:50 AM ",I'd Buy General Electric At The Right Price Too,Long
" Sat, Jan. 13, 1:42 PM ",/article/4137282-ck-asset-holdings-prizing-profits-property-pure-play,Editors' Pick , CHKGF,CK Asset Holdings Prizing Profits Over Property Pure Play,Long
" Sat, Jan. 13, 11:35 AM ",/article/4137211-townsquare-media-ignored-value-play,Editors' Pick , TSQ,Townsquare Media - An Ignored Value Play,Long
" Sat, Jan. 13, 8:53 AM ",/article/4137167-banco-bpm-deep-value-restructuring-story-50-percent-upside,Editors' Pick ," BNCZF, BNNCY",Banco BPM: Deep-Value Restructuring Story With 50% Upside,Long
 Patrick Doyle,/article/4137381-alliance-data-systems-mr-market-pessimistic,ADS," Sat, Jan. 13, 3:41 AM ",Alliance Data Systems: Mr. Market Is Too Pessimistic,Long
 DrillBit Research,/article/4137380-kinder-morgans-tall-cotton-project-update-success-making,KMI," Sat, Jan. 13, 3:31 AM ",Kinder Morgan's Tall Cotton Project Update: A Success In The Making,Long
 Gary Alexander,/article/4137379-hp-inc-strong-buy-pc-sales-data,HPQ," Sat, Jan. 13, 2:55 AM ","HP, Inc. - Strong Buy On PC Sales Data",Long
 Gary Bourgeault,/article/4137369-future-holds-aurora-cannabis,ACBFF," Fri, Jan. 12, 6:55 PM ",What The Future Holds For Aurora Cannabis,Long
 MTS Insights,/article/4137368-canadian-national-railway-rebounds-strongly,CNI," Fri, Jan. 12, 6:45 PM ",Canadian National Railway Rebounds Strongly,Long
 L&F Capital Management,/article/4137359-buy-facebook-silly-dip,FB," Fri, Jan. 12, 5:46 PM ",Buy Facebook On This Silly Dip,Long
 Stone Fox Capital,/article/4137335-delta-air-lines-multiple-expansion-ahead,DAL," Fri, Jan. 12, 4:32 PM ",Delta Air Lines: Multiple Expansion Ahead,Long
 Kenra Investors,/article/4137340-still-long-facebook,FB," Fri, Jan. 12, 4:23 PM ",Why I Am Still Long Facebook,Long
" Fri, Jan. 12, 4:19 PM ",/article/4137046-capitaland-broadening-focus-include-higher-roe-services,Editors' Pick , CLLDY,CapitaLand Broadening Its Focus To Include More Higher-ROE Services,Long
