,Time,Link,Title,Authors,Tickers,Strategy
0," May 24, 2017, 7:09 AM ",/article/4076004-xinyuan-1q17-results-signals-strong-year,Xinyuan 1Q17 Results And Signals Of A Strong Year, John Sheehy,XIN,Long
1, MCD,/article/4075963-mcdonalds-learning-mistakes,McDonald's: Learning From Mistakes," May 24, 2017, 3:12 AM ",Editors' Pick ,Long
2," May 24, 2017, 2:43 AM ",/article/4075958-wirecard-ag-makes-attractive-exposure-growth-payments-processing-space,Here's Why Wirecard AG Makes For An Attractive Exposure To Growth In The Payments Processing Space, Samuel Rae,WRCDF,Long
3," May 24, 2017, 12:51 AM ",/article/4075941-apple-nokia-settle-differences,Apple And Nokia Settle Their Differences, Mark Hibben,AAPL,Long
4," May 23, 2017, 8:48 PM ",/article/4075925-nike-still-best-bet-industry-attractive-entry-point,"Nike: Still The Best Bet In The Industry, At An Attractive Entry Point", Kenra Investors,NKE,Long
5," May 23, 2017, 8:23 PM ",/article/4075924-keep-buying-dr-pepper-snapple-group,Keep Buying Dr Pepper Snapple Group, Societe Financiers,DPS,Long
6," May 23, 2017, 7:29 PM ",/article/4075918-valero-provides-good-return-shareholders,Valero Provides A Good Return To Shareholders, Searching For Value,VLO,Long
7," May 23, 2017, 6:20 PM ",/article/4075905-eaton-marking-time-preparing-revolution,Eaton: Marking Time Or Preparing A Revolution?, John Abbink,ETN,Long
8," May 23, 2017, 5:53 PM ",/article/4075872-wal-mart-offer-best-value,Does Wal-Mart Offer The Best Value?, Jonathan Weber,WMT,Long
9," May 23, 2017, 5:16 PM ",/article/4075870-happened-genzyme-cvr-since-august-2015,What Happened With The Genzyme CVR Since August 2015, Ruerd Heeg,GCVRZ,Long
10," May 23, 2017, 5:05 PM ",/article/4075867-bank-america-declines-will-temporary,Bank Of America: These Declines Will Be Temporary, Dividend Investors,BAC,Long
11," May 23, 2017, 4:54 PM ",/article/4075856-mid-con-energy-partners-opec-supply-cut-extension-alleviate-borrowing-base-uncertainty,Mid-Con Energy Partners: OPEC Supply Cut Extension Should Alleviate Borrowing Base Uncertainty, Elephant Analytics,MCEP,Long
12," May 23, 2017, 4:28 PM ",/article/4075844-stormy-weather-shortsville-ahead-fleetcor-technologies-shortsellers,'Stormy Weather In Shortsville' Ahead For FleetCor Technologies Shortsellers, Theodore Walker,FLT,Long
13," May 23, 2017, 4:16 PM ",/article/4075854-philip-morris-quest-smokeless-future,Philip Morris: The Quest For A Smokeless Future, Timberwolf Equity Research,PM,Long
14," May 23, 2017, 4:14 PM ",/article/4075853-invitae-diagnosed-oversold,When Is Invitae Diagnosed As Oversold?, Strong Bio,NVTA,Long
15, FUNC,/article/4075426-first-united-corporation-repositioning-capital-structure-regional-worth-look,"First United Corporation: After Repositioning Its Capital Structure, This Regional Is Worth A Look"," May 23, 2017, 4:11 PM ",Editors' Pick ,Long
16," May 23, 2017, 3:56 PM ",/article/4075840-tractor-supply-co-excited-petsense,Why Tractor Supply Co. Is Excited About Petsense, Samuel Smith,TSCO,Long
17," May 23, 2017, 3:53 PM ",/article/4075816-amc-looks-good,AMC Looks Good Here, Timothy Gornall,AMC,Long
18," May 23, 2017, 3:07 PM ",/article/4075809-facebooks-foray-ad-targeting-produce-solid-new-revenue-stream,Facebook's Foray Into Ad Targeting Could Produce Solid New Revenue Stream, Gary Bourgeault,FB,Long
19," May 23, 2017, 3:01 PM ",/article/4075803-vivint-solar-just-beginning,Vivint Solar: It's Just The Beginning, Celeritas Investments,VSLR,Long
20," May 23, 2017, 2:54 PM ",/article/4075782-shopify-supply-shares-fall,Shopify: Supply Of Shares About To Fall, Save Money Retire Early,SHOP,Long
21," May 23, 2017, 2:41 PM ",/article/4075791-valeant-valuation-check,Valeant: A Valuation Check, HealthBlogger,VRX,Long
22," May 23, 2017, 2:11 PM ",/article/4075775-despite-impressive-run-6-percent-yielder-still-offers-value,"Despite An Impressive Run, This 6% Yielder Still Offers Value", Renaissance Research,SPXXF,Long
23," May 23, 2017, 2:10 PM ",/article/4075774-general-electric-really-driving-decline,General Electric: What's Really Driving The Decline, Andrew McElroy,GE,Long
24," May 23, 2017, 2:09 PM ",/article/4075772-baytex-energy-head-slaughter-house,Baytex Energy: Head To The Slaughter House, Long Player,BTE,Long
25," May 23, 2017, 1:59 PM ",/article/4075759-stalking-facebook,Stalking Facebook, Markos Kaminis,FB,Long
26," May 23, 2017, 1:54 PM ",/article/4075736-tencent-investment-recommendation,Tencent Investment Recommendation, Meng W,TCEHY,Long
27," May 23, 2017, 1:49 PM ",/article/4075754-j-and-j-core-holding-pharmaceutical-space,J&J Is A Core Holding In The Pharmaceutical Space, HealthBlogger,JNJ,Long
28," May 23, 2017, 1:33 PM ",/article/4075740-amd-vega-nvidia-killer,AMD: Vega Is A Nvidia Killer, Motoko Buffett,AMD,Long
29," May 23, 2017, 1:25 PM ",/article/4075709-iconix-expansion-brands-slated-bring-major-second-half-growth,Iconix: Expansion Of Brands Is Slated To Bring Major Second-Half Growth, Upside Research,ICON,Long
30," May 23, 2017, 1:24 PM ",/article/4075707-lockheed-martin-going-anywhere-long-know-customers,Lockheed Martin Isn't Going Anywhere - So Long As They Know Their Customers, Helena Leathers,LMT,Long
31," May 23, 2017, 1:20 PM ",/article/4075705-mgm-resorts-catalysts-already-place-tell-powerful-story,MGM Resorts - Catalysts Already In Place Tell A Powerful Story, Howard Jay Klein,MGM,Long
32," May 23, 2017, 1:07 PM ",/article/4075725-netease-chinese-tech-conglomerate-least-20-percent-undervalued,NetEase: This Chinese Tech Conglomerate Is At Least 20% Undervalued, Logical Tech Investor,NTES,Long
33," May 23, 2017, 1:02 PM ",/article/4075714-price-retailer-antithesis-amazon,This Off-Price Retailer Is The Antithesis Of Amazon, David J. Waldron,TJX,Long
34," May 23, 2017, 12:54 PM ",/article/4075708-zynga-partners-netease-china-expansion,Zynga Partners With NetEase For Its China Expansion, Motek Moyen,ZNGA,Long
