Tickers,Tickers
AAPL,18
AMD,17
FB,16
AMZN,15
SHOP,13
NVDA,13
TSLA,12
BAC,12
GE,10
F,10
GM,8
CHK,8
BB,7
SNAP,7
VRX,7
DIS,7
HD,7
GILD,7
RIG,6
FSLR,6
BA,6
MSFT,6
XOM,6
MU,6
NKE,5
