,Time,Link,Title,Authors,Tickers,Strategy
0," May 7, 2017, 4:21 PM ",/article/4070364-cognizant-overblown-immigration-worries,Cognizant: Overblown Immigration Worries, Activist Stocks,CTSH,Long
1," May 7, 2017, 3:42 PM ",/article/4070360-general-mills-de-risked-bet,General Mills: A De-Risked Bet, D.M. Martins Research,GIS,Long
2, MMM,/article/4070344-3m-company-pursuing-outperformance-operational-excellence-fair-value,3M Company: Pursuing Outperformance With Operational Excellence And Fair Value," May 7, 2017, 1:58 PM ",Editors' Pick ,Long
3," May 7, 2017, 11:53 AM ",/article/4070312-biodelivery-sciences-belbuca-transition-appears-worked,BioDelivery Sciences: Belbuca Transition Appears To Have Worked, RoadToFreedom,BDSI,Long
4," May 7, 2017, 7:39 AM ",/article/4070289-amazon-latin-american-twist,Amazon With A Latin American Twist, Bill Gunderson,MELI,Long
5," May 7, 2017, 6:25 AM ",/article/4070282-salesforce-com-road-sticky,Salesforce.com: On The Road To 'Sticky', Douglas Adams,CRM,Long
6," May 7, 2017, 2:08 AM ",/article/4070228-investors-need-understand-huge-alibaba-really,Investors Need To Understand How Huge Alibaba Really Is, WappCap,BABA,Long
7," May 6, 2017, 9:13 PM ",/article/4070147-transocean-lesson-financing,Transocean: A Lesson In 'Financing', Daniel Jones,RIG,Long
8," May 6, 2017, 6:47 PM ",/article/4070127-uniti-least-2-good-deal-opportunities-2017,Uniti Has At Least 2 Good Deal Opportunities In 2017, Hazel Capital,UNIT,Long
9," May 6, 2017, 12:53 PM ",/article/4070090-former-sprint-bear-now-sees-glimmer-hope,A Former Sprint Bear Now Sees A Glimmer Of Hope, James Brumley,S,Long
10," May 6, 2017, 12:50 PM ",/article/4070089-hca-holdings-buy-consistent-growth,HCA Holdings: Buy For Consistent Growth, ChartMasterPro,HCA,Long
11," May 6, 2017, 11:26 AM ",/article/4070067-disney-guardians-importance-goes-beyond-film-division,Disney: Guardians Importance Goes Beyond Film Division, Market View,DIS,Long
12, PTMKF,/article/4069656-pt-ultrajaya-milk-market-leader-indonesias-milk-industry-riding-secular-tailwinds,PT Ultrajaya Milk: Market Leader In Indonesia's Milk Industry Riding On Secular Tailwinds," May 6, 2017, 10:35 AM ",Editors' Pick ,Long
13," May 6, 2017, 9:30 AM ",/article/4069665-silver-standard-resources-entering-bargain-territory,Silver Standard Resources: Entering Bargain Territory?, The Investment Doctor,SSRI,Long
14," RTRX, RXDX, AKAO",/article/4069332-pro-weekly-digest-focusing-opportunities-biotech-sector,PRO Weekly Digest: Focusing On Opportunities In The Biotech Sector," May 6, 2017, 7:30 AM ",Editors' Pick ,Long
15," May 6, 2017, 7:30 AM ",/article/4070022-positives-boeing,The Positives For Boeing, Dhierin Bechai,BA,Long
16, QCOM,/article/4132824-sa-interview-investing-family-office-perspective-cdm-capital,SA Interview: Investing From A Family Office Perspective With CDM Capital," May 6, 2017, 7:30 AM ",Editors' Pick ,Long
17," May 6, 2017, 7:04 AM ",/article/4070019-vascular-biogenics-initiating-coverage-first-price-target-13,Vascular Biogenics: Initiating Coverage With First Price Target Of $13, Bob Sharma,VBLT,Long
18," May 6, 2017, 3:24 AM ",/article/4069995-happened-mobile-telesystems,What Happened With Mobile TeleSystems?," Dmitry Smirnov, CFA",MBT,Long
19," May 6, 2017, 3:12 AM ",/article/4069998-pengrowth-offers-robust-long-terms-gains-patient-investors,Pengrowth Offers Robust Long Terms Gains For Patient Investors, Michael Blair,PGHEF,Long
20," May 6, 2017, 2:40 AM ",/article/4069993-lendingclub-unleashing-platform-growth,LendingClub: Unleashing Platform Growth, Stone Fox Capital,LC,Long
