,Time,Link,Title,Authors,Tickers,Strategy
0," May 31, 2017, 3:30 PM ",/article/4077786-chevron-makes-profit-still-bleeds-cash,Chevron Makes A Profit But Still Bleeds Cash, Callum Turcan,CVX,Long
1," May 31, 2017, 3:20 PM ",/article/4077778-gms-chevy-bolt-serious-competition-teslas-model-3,GM's Chevy Bolt Is Not Serious Competition For Tesla's Model 3, Trent Eady,"GM, TSLA",Long
2," May 31, 2017, 2:59 PM ",/article/4077770-spotlight-sterling-construction-company-rebound-candidate,"Spotlight On Sterling Construction Company, A Rebound Candidate", Don Dion,STRL,Long
3," May 31, 2017, 1:58 PM ",/article/4077716-starbucks-china-vs-us,Starbucks: China Vs US, Save Money Retire Early,SBUX,Long
4," May 31, 2017, 1:28 PM ",/article/4077705-professional-diversity-network-potential-large-short-squeeze,Professional Diversity Network Has Potential For A Large Short Squeeze, Mobile Guru,IPDN,Long
5," May 31, 2017, 1:20 PM ",/article/4077714-amd-cryptocurrency-supply-demand,AMD: Cryptocurrency And Supply And Demand, Austin Craig,AMD,Long
6," May 31, 2017, 1:19 PM ",/article/4077713-brookfield-infrastructure-partners-babysitting-required,Brookfield Infrastructure Partners - No Babysitting Required, Caleb Jensema,BIP,Long
7," May 31, 2017, 1:08 PM ",/article/4077709-double-digit-opportunities-coming-oil,Double-Digit Opportunities Coming In Oil, Jesse Moore,WOPEY,Long
8," May 31, 2017, 1:05 PM ",/article/4077708-buy-shopify-today,Should You Buy Shopify Today?, Canadian Dividend Growth Investor,SHOP,Long
9," May 31, 2017, 12:49 PM ",/article/4077700-momo-yy-rapidly-grow-chinas-live-video-streaming-market-expands,Momo And YY Rapidly Grow As China's Live Video Streaming Market Expands, Kevin Quon,"MOMO, YY",Long
10, PLX,/article/4077429-protalix-biotherapeutics-novel-enzymes-innovator-orphan-diseases,Protalix BioTherapeutics: A Novel Enzymes Innovator For Orphan Diseases," May 31, 2017, 12:28 PM ",Editors' Pick ,Long
11," May 31, 2017, 12:18 PM ",/article/4077685-veevas-quarter-pretty-easy-love,Veeva's Quarter: Pretty Easy To Love, Bert Hochfeld,VEEV,Long
12," May 31, 2017, 12:17 PM ",/article/4077690-nvr-market-undervalues-firms-cash-flows,NVR: The Market Undervalues This Firm's Cash Flows, David Trainer,NVR,Long
13," May 31, 2017, 12:00 PM ",/article/4077682-schedule-canadian-banks-part-4-6-canadian-imperial-bank-commerce,Schedule I Canadian Banks - (Part 4 Of 6): Canadian Imperial Bank Of Commerce, Charles Fournier,CM,Long
