Date,Close,Tickers
3/2/15,129.08999599999999,AAPL
3/3/15,129.360001,AAPL
3/4/15,128.53999299999998,AAPL
3/5/15,126.410004,AAPL
3/6/15,126.599998,AAPL
3/9/15,127.139999,AAPL
3/10/15,124.510002,AAPL
3/11/15,122.239998,AAPL
3/12/15,124.449997,AAPL
3/13/15,123.589996,AAPL
3/16/15,124.949997,AAPL
3/17/15,127.040001,AAPL
3/18/15,128.470001,AAPL
3/19/15,127.5,AAPL
3/20/15,125.900002,AAPL
3/23/15,127.209999,AAPL
3/24/15,126.690002,AAPL
3/25/15,123.379997,AAPL
3/26/15,124.239998,AAPL
3/27/15,123.25,AAPL
3/30/15,126.370003,AAPL
3/31/15,124.43,AAPL
4/1/15,124.25,AAPL
4/2/15,125.32,AAPL
4/6/15,127.349998,AAPL
4/7/15,126.010002,AAPL
4/8/15,125.599998,AAPL
4/9/15,126.559998,AAPL
4/10/15,127.099998,AAPL
4/13/15,126.849998,AAPL
4/14/15,126.300003,AAPL
4/15/15,126.779999,AAPL
4/16/15,126.16999799999999,AAPL
4/17/15,124.75,AAPL
4/20/15,127.599998,AAPL
4/21/15,126.910004,AAPL
4/22/15,128.619995,AAPL
4/23/15,129.669998,AAPL
4/24/15,130.279999,AAPL
4/27/15,132.649994,AAPL
4/28/15,130.559998,AAPL
4/29/15,128.639999,AAPL
4/30/15,125.150002,AAPL
5/1/15,128.949997,AAPL
5/4/15,128.699997,AAPL
5/5/15,125.800003,AAPL
5/6/15,125.010002,AAPL
5/7/15,125.260002,AAPL
5/8/15,127.620003,AAPL
5/11/15,126.32,AAPL
5/12/15,125.870003,AAPL
5/13/15,126.010002,AAPL
5/14/15,128.949997,AAPL
5/15/15,128.770004,AAPL
5/18/15,130.190002,AAPL
5/19/15,130.070007,AAPL
5/20/15,130.059998,AAPL
5/21/15,131.389999,AAPL
5/22/15,132.53999299999998,AAPL
5/26/15,129.619995,AAPL
5/27/15,132.03999299999998,AAPL
5/28/15,131.779999,AAPL
5/29/15,130.279999,AAPL
6/1/15,130.53999299999998,AAPL
6/2/15,129.96000700000002,AAPL
6/3/15,130.119995,AAPL
6/4/15,129.360001,AAPL
6/5/15,128.649994,AAPL
6/8/15,127.800003,AAPL
6/9/15,127.41999799999999,AAPL
6/10/15,128.880005,AAPL
6/11/15,128.58999599999999,AAPL
6/12/15,127.16999799999999,AAPL
6/15/15,126.91999799999999,AAPL
6/16/15,127.599998,AAPL
6/17/15,127.300003,AAPL
6/18/15,127.879997,AAPL
6/19/15,126.599998,AAPL
6/22/15,127.610001,AAPL
6/23/15,127.029999,AAPL
6/24/15,128.110001,AAPL
6/25/15,127.5,AAPL
6/26/15,126.75,AAPL
6/29/15,124.529999,AAPL
6/30/15,125.43,AAPL
7/1/15,126.599998,AAPL
7/2/15,126.440002,AAPL
7/6/15,126.0,AAPL
7/7/15,125.690002,AAPL
7/8/15,122.57,AAPL
7/9/15,120.07,AAPL
7/10/15,123.279999,AAPL
7/13/15,125.660004,AAPL
7/14/15,125.610001,AAPL
7/15/15,126.82,AAPL
7/16/15,128.509995,AAPL
7/17/15,129.619995,AAPL
7/20/15,132.070007,AAPL
7/21/15,130.75,AAPL
7/22/15,125.220001,AAPL
7/23/15,125.160004,AAPL
7/24/15,124.5,AAPL
7/27/15,122.769997,AAPL
7/28/15,123.379997,AAPL
7/29/15,122.989998,AAPL
7/30/15,122.370003,AAPL
7/31/15,121.300003,AAPL
8/3/15,118.440002,AAPL
8/4/15,114.639999,AAPL
8/5/15,115.400002,AAPL
8/6/15,115.129997,AAPL
8/7/15,115.519997,AAPL
8/10/15,119.720001,AAPL
8/11/15,113.489998,AAPL
8/12/15,115.239998,AAPL
8/13/15,115.150002,AAPL
8/14/15,115.959999,AAPL
8/17/15,117.160004,AAPL
8/18/15,116.5,AAPL
8/19/15,115.010002,AAPL
8/20/15,112.650002,AAPL
8/21/15,105.760002,AAPL
8/24/15,103.120003,AAPL
8/25/15,103.739998,AAPL
8/26/15,109.690002,AAPL
8/27/15,112.91999799999999,AAPL
8/28/15,113.290001,AAPL
8/31/15,112.760002,AAPL
9/1/15,107.720001,AAPL
9/2/15,112.339996,AAPL
9/3/15,110.370003,AAPL
9/4/15,109.269997,AAPL
9/8/15,112.309998,AAPL
9/9/15,110.150002,AAPL
9/10/15,112.57,AAPL
9/11/15,114.209999,AAPL
9/14/15,115.309998,AAPL
9/15/15,116.279999,AAPL
9/16/15,116.410004,AAPL
9/17/15,113.91999799999999,AAPL
9/18/15,113.449997,AAPL
9/21/15,115.209999,AAPL
9/22/15,113.400002,AAPL
9/23/15,114.32,AAPL
9/24/15,115.0,AAPL
9/25/15,114.709999,AAPL
9/28/15,112.440002,AAPL
9/29/15,109.059998,AAPL
9/30/15,110.300003,AAPL
10/1/15,109.58000200000001,AAPL
10/2/15,110.379997,AAPL
10/5/15,110.779999,AAPL
10/6/15,111.309998,AAPL
10/7/15,110.779999,AAPL
10/8/15,109.5,AAPL
10/9/15,112.120003,AAPL
10/12/15,111.599998,AAPL
10/13/15,111.790001,AAPL
10/14/15,110.209999,AAPL
10/15/15,111.860001,AAPL
10/16/15,111.040001,AAPL
10/19/15,111.730003,AAPL
10/20/15,113.769997,AAPL
10/21/15,113.760002,AAPL
10/22/15,115.5,AAPL
10/23/15,119.08000200000001,AAPL
10/26/15,115.279999,AAPL
10/27/15,114.550003,AAPL
10/28/15,119.269997,AAPL
10/29/15,120.529999,AAPL
10/30/15,119.5,AAPL
11/2/15,121.18,AAPL
11/3/15,122.57,AAPL
11/4/15,122.0,AAPL
11/5/15,120.91999799999999,AAPL
11/6/15,121.059998,AAPL
11/9/15,120.57,AAPL
11/10/15,116.769997,AAPL
11/11/15,116.110001,AAPL
11/12/15,115.720001,AAPL
11/13/15,112.339996,AAPL
11/16/15,114.18,AAPL
11/17/15,113.690002,AAPL
11/18/15,117.290001,AAPL
11/19/15,118.779999,AAPL
11/20/15,119.300003,AAPL
11/23/15,117.75,AAPL
11/24/15,118.879997,AAPL
11/25/15,118.029999,AAPL
11/27/15,117.809998,AAPL
11/30/15,118.300003,AAPL
12/1/15,117.339996,AAPL
12/2/15,116.279999,AAPL
12/3/15,115.199997,AAPL
12/4/15,119.029999,AAPL
12/7/15,118.279999,AAPL
12/8/15,118.230003,AAPL
12/9/15,115.620003,AAPL
12/10/15,116.16999799999999,AAPL
12/11/15,113.18,AAPL
12/14/15,112.480003,AAPL
12/15/15,110.489998,AAPL
